#
# Circular speeds of disk models
#
#  Column 1: distance from center [units = disk scale length R_d]
#  Column 2: circular velocity - point disk [units = (GM_d/R_d)^1/2]
#  Column 3: circular velocity - spherical disk [units = (GM_d/R_d)^1/2]
#  Column 4: circular velocity - exponential disk [units = (GM_d/R_d)^1/2]
#
  R/Rd          vc_point     vc_sphere    vc_exp
  6.56212997  0.390371025  0.388280004  0.417892069
  6.57816219  0.389895022  0.387835473  0.417276144
  6.59419441  0.389420778  0.387392253  0.416660547
  6.61022663  0.388948262  0.386950284  0.416047633
  6.62625885  0.388477445  0.386509538  0.415439159
  6.64229107  0.388008326  0.386070073  0.414831221
  6.65832329  0.387540907  0.385631859  0.414225847
  6.67435551  0.387075186  0.385194898  0.413621962
  6.69038773  0.386611134  0.384759158  0.41302067
  6.70641994  0.386148751  0.38432467  0.412421316
  6.72245216  0.385688007  0.383891404  0.411825269
  6.73848438  0.385228932  0.383459419  0.411231279
  6.7545166  0.384771466  0.383028597  0.410637796
  6.77054882  0.38431564  0.382599026  0.410047591
  6.78658104  0.383861423  0.382170677  0.409460634
  6.80261326  0.383408844  0.38174361  0.40887481
  6.81864548  0.382957816  0.381317675  0.408290327
  6.8346777  0.382508397  0.380892992  0.407708943
  6.85070992  0.382060558  0.380469471  0.407129556
  6.86674213  0.381614298  0.380047202  0.406551003
  6.88277435  0.381169587  0.379626125  0.405975491
  6.89880657  0.380726427  0.37920624  0.40540278
  6.91483879  0.380284786  0.378787518  0.404832602
  6.93087101  0.379844725  0.378370047  0.404262841
  6.94690323  0.379406154  0.377953708  0.403696269
  6.96293545  0.378969103  0.377538532  0.403132588
  6.97896767  0.378533572  0.377124608  0.402568221
  6.99499989  0.378099531  0.376711816  0.402008206
  7.0110321  0.37766701  0.376300216  0.401449978
  7.02706432  0.377235919  0.375889748  0.400893122
  7.04309654  0.376806319  0.375480443  0.400338352
  7.05912876  0.376378179  0.37507233  0.399786204
  7.07516098  0.375951499  0.37466535  0.399235249
  7.0911932  0.375526279  0.374259531  0.398687452
  7.10722542  0.37510252  0.373854876  0.398140788
  7.12325764  0.374680132  0.373451322  0.397595644
  7.13928986  0.374259233  0.373048991  0.397054344
  7.15532207  0.373839676  0.372647703  0.396514088
  7.17135429  0.37342158  0.372247577  0.39597404
  7.18738651  0.373004884  0.371848613  0.395438343
  7.20341873  0.372589558  0.371450752  0.394904435
  7.21945095  0.372175604  0.371053964  0.394370914
  7.23548317  0.371763051  0.370658338  0.393840939
  7.25151539  0.371351868  0.370263845  0.393312871
  7.26754761  0.370942056  0.369870484  0.392784178
  7.28357983  0.370533556  0.369478166  0.392259747
  7.29961205  0.370126456  0.369087011  0.391736567
  7.31564426  0.369720638  0.368696898  0.391217172
  7.33167648  0.36931619  0.368307889  0.390698612
  7.3477087  0.368913054  0.367919981  0.390181273
  7.36374092  0.36851126  0.367533207  0.389664531
  7.37977314  0.368110746  0.367147475  0.389151603
  7.39580536  0.367711544  0.366762817  0.388640672
  7.41183758  0.367313623  0.366379231  0.388130903
  7.4278698  0.366917014  0.365996748  0.38762334
  7.44390202  0.366521686  0.365615308  0.387117743
  7.45993423  0.36612764  0.365234971  0.386614233
  7.47596645  0.365734816  0.364855647  0.386111319
  7.49199867  0.365343302  0.364477426  0.385610014
  7.50803089  0.364953011  0.364100218  0.385112315
  7.52406311  0.364564002  0.363724083  0.384615928
  7.54009533  0.364176214  0.363348991  0.384121001
  7.55612755  0.363789678  0.362974972  0.38362813
  7.57215977  0.363404363  0.362601995  0.383136094
  7.58819199  0.363020241  0.362230003  0.382647485
  7.60422421  0.362637371  0.361859053  0.382160157
  7.62025642  0.362255692  0.361489147  0.381673425
  7.63628864  0.361875206  0.361120254  0.38118875
  7.65232086  0.361495942  0.360752434  0.380707622
  7.66835308  0.36111784  0.360385597  0.380226105
  7.6843853  0.36074096  0.360019773  0.379746646
