JDTDB,dateTDB,X,Y,Z,Xearth,Yearth,Zearth
2435369.5,1955-Sep-19,-1.410471694645246E-01,-9.256603125906899E-01,4.435448941513718E-03,1.002048153391049E+00,-7.175021683149872E-02,2.822565582248501E-06
2435379.5,1955-Sep-29,4.082023587627443E-02,-9.449912923849799E-01,1.557563852740809E-03,9.968573488684493E-01,9.942920878532401E-02,1.994716686127484E-05
2435389.5,1955-Oct-09,2.213004436042806E-01,-9.313876886413481E-01,-1.375176505871849E-03,9.623994845662106E-01,2.676820924962113E-01,3.647783393739617E-05
2435399.5,1955-Oct-19,3.943774528369491E-01,-8.864587888280057E-01,-4.262305778384629E-03,8.994442971421659E-01,4.280009655844084E-01,5.192181282155960E-05
2435409.5,1955-Oct-29,5.547500434501426E-01,-8.128756755188234E-01,-7.012362566706510E-03,8.096292106916781E-01,5.755303547332814E-01,6.580785658729539E-05
2435419.5,1955-Nov-08,6.979786828246523E-01,-7.141020481358574E-01,-9.545879121389675E-03,6.954379691243432E-01,7.057231194555388E-01,7.770375957386557E-05
2435429.5,1955-Nov-18,8.205426134675279E-01,-5.941332225979667E-01,-1.179690561168516E-02,5.601485521893877E-01,8.144964774130867E-01,8.723706786047122E-05
2435439.5,1955-Nov-28,9.198283528976239E-01,-4.572670948749524E-01,-1.371336584213273E-02,4.077491253749382E-01,8.983807567875184E-01,9.410567461257497E-05
2435449.5,1955-Dec-08,9.940728642907449E-01,-3.079182393920671E-01,-1.525658195371454E-02,2.428224906660616E-01,9.546532455492461E-01,9.808770991860862E-05
2435459.5,1955-Dec-18,1.042282058985128E+00,-1.504768367186357E-01,-1.640029555394077E-02,7.040171022128096E-02,9.814491972848567E-01,9.905092218363151E-05
2435469.5,1955-Dec-28,1.064140590233572E+00,1.079190105846315E-02,-1.712945380062419E-02,-1.041979722642078E-01,9.778426463335168E-01,9.695903708040783E-05
2435479.5,1956-Jan-07,1.059923842002975E+00,1.718150801521530E-01,-1.743895155442465E-02,-2.755636171834396E-01,9.438911114644085E-01,9.187456307443480E-05
2435489.5,1956-Jan-17,1.030418694493020E+00,3.287542949898635E-01,-1.733245169942043E-02,-4.383765089084203E-01,8.806403859470238E-01,8.395556578886017E-05
2435499.5,1956-Jan-27,9.768563696317044E-01,4.780301904055410E-01,-1.682135656416835E-02,-5.876015594194185E-01,7.900883162927629E-01,7.344781474413973E-05
2435509.5,1956-Feb-06,9.008582445695614E-01,6.163359764445636E-01,-1.592396609546750E-02,-7.186643296028001E-01,6.751093715926811E-01,6.068069099772561E-05
2435519.5,1956-Feb-16,8.043941353585572E-01,7.406452744611337E-01,-1.466483397621621E-02,-8.276067185935303E-01,5.393443752422320E-01,4.605767436621505E-05
2435529.5,1956-Feb-26,6.897519181362776E-01,8.482187849319442E-01,-1.307430445205481E-02,-9.112139892963476E-01,3.870621624538230E-01,3.003736863606646E-05
2435539.5,1956-Mar-07,5.595166188934600E-01,9.366133827039982E-01,-1.118819738403166E-02,-9.671083423322302E-01,2.230014613748126E-01,1.311604271035666E-05
2435549.5,1956-Mar-17,4.165566812105526E-01,1.003696516345580E+00,-9.047618535459899E-03,-9.938067941540953E-01,5.220177530518961E-02,-4.189448817761920E-06
2435559.5,1956-Mar-27,2.640147742378649E-01,1.047668370107577E+00,-6.698862043077628E-03,-9.907435557831652E-01,-1.201681553629041E-01,-2.135842305263845E-05
2435569.5,1956-Apr-06,1.053000281123928E-01,1.067093866210697E+00,-4.193360114908846E-03,-9.582592554613484E-01,-2.889766697270758E-01,-3.788264550320913E-05
2435579.5,1956-Apr-16,-5.592205435950819E-02,1.060946151498645E+00,-1.587624005150935E-03,-8.975608958166488E-01,-4.492841066495565E-01,-5.328268990773403E-05
2435589.5,1956-Apr-26,-2.157466120350106E-01,1.028662625992546E+00,1.056897454180190E-03,-8.106573680595192E-01,-5.964817705861207E-01,-6.712230700485264E-05
2435599.5,1956-May-06,-3.700590779019250E-01,9.702135479201021E-01,3.674139354744917E-03,-7.002757982294399E-01,-7.264120830858813E-01,-7.901316949652231E-05
2435609.5,1956-May-16,-5.145841558272817E-01,8.861815093986509E-01,6.194022512291184E-03,-5.697637138968069E-01,-8.354686896011737E-01,-8.862205838769993E-05
2435619.5,1956-May-26,-6.449616276557757E-01,7.778478111246876E-01,8.543465718755042E-03,-4.229814390404739E-01,-9.206762785724935E-01,-9.568316534442832E-05
2435629.5,1956-Jun-05,-7.568568206283546E-01,6.472782360772829E-01,1.064795941963591E-02,-2.641885808258395E-01,-9.797507740923087E-01,-1.000072502968327E-04
2435639.5,1956-Jun-15,-8.461122556028242E-01,4.973961662564630E-01,1.243383189316397E-02,-9.792757077197366E-02,-1.011141146926422E+00,-1.014907672038539E-04
2435649.5,1956-Jun-25,-9.089433833358084E-01,3.320260386617388E-01,1.383129338804819E-02,7.109357218740581E-02,-1.014054253718468E+00,-1.001235650366467E-04
2435659.5,1956-Jul-05,-9.421745180730533E-01,1.558858477729714E-01,1.477824517270410E-02,2.381176646728614E-01,-9.884640589351683E-01,-9.598000159084960E-05
2435669.5,1956-Jul-15,-9.435007759768617E-01,-2.549415981791685E-02,1.522467811324060E-02,3.984529343298809E-01,-9.351061975912309E-01,-8.919560568437278E-05
2435679.5,1956-Jul-25,-9.117491368473816E-01,-2.059456265180432E-01,1.513727698520114E-02,5.475851534740067E-01,-8.554584755481370E-01,-7.995910245494673E-05
2435689.5,1956-Aug-04,-8.470998190987201E-01,-3.789367859403522E-01,1.450362893194651E-02,6.812866655226549E-01,-7.517077821107570E-01,-6.851408093072287E-05
2435699.5,1956-Aug-14,-7.512227104117420E-01,-5.379364111307933E-01,1.333526809772934E-02,7.957215895185917E-01,-6.267034669408923E-01,-5.516326665108325E-05
2435709.5,1956-Aug-24,-6.272883622733405E-01,-6.768322045807432E-01,1.166882880913595E-02,8.875461952753818E-01,-4.838966307274631E-01,-4.026751463484684E-05
2435719.5,1956-Sep-03,-4.798314874976349E-01,-7.903488426475263E-01,9.564831952961681E-03,9.540028974418030E-01,-3.272647716688614E-01,-2.423763367868766E-05
2435729.5,1956-Sep-13,-3.144736459577407E-01,-8.744027784936174E-01,7.104060594137443E-03,9.930058242366483E-01,-1.612213085935169E-01,-7.523710428249553E-06
2435739.5,1956-Sep-23,-1.375422366033974E-01,-9.263399721452684E-01,4.381993077709930E-03,1.003215273860801E+00,9.490263698899298E-03,9.397208121952638E-06
2435749.5,1956-Oct-03,4.435604452686737E-02,-9.450271960743238E-01,1.502160378141588E-03,9.840977737231359E-01,1.799172409648659E-01,2.603358069671502E-05
2435759.5,1956-Oct-13,2.247447548983687E-01,-9.307987328001450E-01,-1.430563526436093E-03,9.359679996618957E-01,3.450324159824118E-01,4.189076353197074E-05
2435769.5,1956-Oct-23,3.976198323807301E-01,-8.852870889283774E-01,-4.315855475892229E-03,8.600085035629371E-01,4.998803797490707E-01,5.648615195986344E-05
2435779.5,1956-Nov-02,5.576957843771305E-01,-8.111812936790174E-01,-7.062460360356464E-03,7.582632959233448E-01,6.397317261043347E-01,6.937124744373926E-05
2435789.5,1956-Nov-12,7.005505979403185E-01,-7.119576897465710E-01,-9.591153692602142E-03,6.336021147530642E-01,7.602400661495337E-01,8.014520622113115E-05
2435799.5,1956-Nov-22,8.226813200598507E-01,-5.916194413746724E-01,-1.183624820453827E-02,4.896531876669545E-01,8.575956032561245E-01,8.846656349065345E-05
2435809.5,1956-Dec-02,9.214914665243740E-01,-4.544682727641746E-01,-1.374592642700285E-02,3.307038952471604E-01,9.286678498609743E-01,9.406653633681753E-05
2435819.5,1956-Dec-12,9.952335349182284E-01,-3.049194872825305E-01,-1.528174997992113E-02,1.615709104305572E-01,9.711295676101556E-01,9.676063787964776E-05
2435829.5,1956-Dec-22,1.042927243361464E+00,-1.473617735222764E-01,-1.641767396147472E-02,-1.255631134004332E-02,9.835541996828157E-01,9.645703976799071E-05
2435839.5,1957-Jan-01,1.064269341141714E+00,1.394262747938943E-02,-1.713883202826932E-02,-1.862924859860108E-01,9.654800263174754E-01,9.316013618738215E-05
2435849.5,1957-Jan-11,1.059545796160402E+00,1.749247019026994E-01,-1.744028400075908E-02,-3.542456874690976E-01,9.174361068858942E-01,8.696896355531515E-05
2435859.5,1957-Jan-21,1.029552788331825E+00,3.317504753543983E-01,-1.732584125670401E-02,-5.112092831649203E-01,8.409275049112529E-01,7.807732740269833E-05
2435869.5,1957-Jan-31,9.755296809296777E-01,4.808453254402678E-01,-1.680704153051017E-02,-6.523466228848728E-01,7.383799539597202E-01,6.677110004970290E-05
2435879.5,1957-Feb-10,8.991050644816063E-01,6.189073263894724E-01,-1.590231668396746E-02,-7.733587950579539E-01,6.130470864987974E-01,5.341396358727785E-05
2435889.5,1957-Feb-20,8.022553867867011E-01,7.429151250170647E-01,-1.463634834647309E-02,-8.706273037859171E-01,4.688859548640046E-01,3.843200910186581E-05
2435899.5,1957-Mar-02,6.872748065985167E-01,8.501346976432568E-01,-1.303959912304038E-02,-9.413255712051694E-01,3.104083254627774E-01,2.229731134571462E-05
2435909.5,1957-Mar-12,5.567544210528538E-01,9.381285264130326E-01,-1.114800005451401E-02,-9.834956461492872E-01,1.425163453724908E-01,5.510968379276485E-06
2435919.5,1957-Mar-22,4.135686180432592E-01,1.004770123552181E+00,-9.002765495057094E-03,-9.960890664591336E-01,-2.966864003400960E-02,-1.141403618957019E-05
2435929.5,1957-Apr-01,2.608659214592948E-01,1.048266362428864E+00,-6.650299603586369E-03,-9.789731202093999E-01,-2.009759403805891E-01,-2.797152227663527E-05
2435939.5,1957-Apr-11,1.020612207493213E-01,1.067189707422612E+00,-4.142148547825178E-03,-9.329056520908662E-01,-3.663470278534552E-01,-4.367988348291202E-05
2435949.5,1957-Apr-21,-5.917444921923663E-02,1.060522007024524E+00,-1.534934177727797E-03,-8.594828906583259E-01,-5.209832688479411E-01,-5.809066464503983E-05
2435959.5,1957-May-01,-2.189312199274621E-01,1.027710741031672E+00,1.109795397564831E-03,-7.610653450132326E-01,-6.604762678636042E-01,-7.079660817104590E-05
2435969.5,1957-May-11,-3.730903410405329E-01,9.687377671563159E-01,3.725882544473634E-03,-6.406868320198318E-01,-7.809186675207984E-01,-8.144585653525546E-05
2435979.5,1957-May-21,-5.173735666552044E-01,8.841990078096055E-01,6.243166345585331E-03,-5.019515114517648E-01,-8.789946011721790E-01,-8.975106025654022E-05
2435989.5,1957-May-31,-6.474195995580255E-01,7.753909313222541E-01,8.588509690423672E-03,-3.489231115240349E-01,-9.520501030125443E-01,-9.549377438838737E-05
2435999.5,1957-Jun-10,-7.588953358084881E-01,6.443962028539466E-01,1.068738829808092E-02,-1.860097365877611E-01,-9.981444555902222E-01,-9.852757735199973E-05
2436009.5,1957-Jun-20,-8.476483725822257E-01,4.941563939661437E-01,1.246617414344644E-02,-1.784684674012874E-02,-1.016083811573357E+00,-9.878052577772398E-05
2436019.5,1957-Jun-30,-9.099035862155727E-01,3.285146528502441E-01,1.385519831685708E-02,1.508197516190154E-01,-1.005438453491883E+00,-9.625745056846180E-05
2436029.5,1957-Jul-10,-9.424997207166286E-01,1.522069968639895E-01,1.479257923443407E-02,3.152496417204415E-01,-9.665448752688881E-01,-9.104034417221724E-05
2436039.5,1957-Jul-20,-9.431516836072416E-01,-2.922063946411114E-02,1.522863632575629E-02,4.708213349798814E-01,-9.004936070849691E-01,-8.327966153698871E-05
2436049.5,1957-Jul-30,-9.107114593193376E-01,-2.095886325058275E-01,1.513046474478506E-02,6.131430021825746E-01,-8.091034010463632E-01,-7.318914647080316E-05
2436059.5,1957-Aug-09,-8.453884566626261E-01,-3.823603881018302E-01,1.448607608102283E-02,7.381598243604982E-01,-6.948818101086892E-01,-6.104512524794240E-05
2436069.5,1957-Aug-19,-7.488838962298318E-01,-5.410076988513278E-01,1.330742896624887E-02,8.422570585997108E-01,-5.609719051147931E-01,-4.718146972558362E-05
2436079.5,1957-Aug-29,-6.243989646210176E-01,-6.794298362114365E-01,1.163159624725689E-02,9.223575855332724E-01,-4.110846738038063E-01,-3.198241749529188E-05
2436089.5,1957-Sep-08,-4.764952342394136E-01,-7.923712755556560E-01,9.519523839831713E-03,9.760121895642444E-01,-2.494165454255436E-01,-1.587341914168387E-05
2436099.5,1957-Sep-18,-3.108146602335531E-01,-8.757749450590754E-01,7.052354905550684E-03,1.001480244225979E+00,-8.055163933289523E-02,6.887957788188837E-07
2436109.5,1957-Sep-28,-1.336967710132737E-01,-9.270173990770598E-01,4.325819178746772E-03,9.977978288533635E-01,9.065127445695614E-02,1.722516391671818E-05
2436119.5,1957-Oct-08,4.824847010973020E-02,-9.449970774919719E-01,1.443569699979827E-03,9.648297017712317E-01,2.591864521445824E-01,3.324622833783679E-05
2436129.5,1957-Oct-18,2.285495135564836E-01,-9.300781297297627E-01,-1.489517170909654E-03,9.033011532509365E-01,4.200417842216668E-01,4.827277589538887E-05
2436139.5,1957-Oct-28,4.012137515425125E-01,-8.839190488777229E-01,-4.373220288898324E-03,8.148058061038533E-01,5.683493370852026E-01,6.184980850397384E-05
2436149.5,1957-Nov-07,5.609717853179350E-01,-8.092297494885702E-01,-7.116474711340979E-03,7.017857118665615E-01,6.995416213430456E-01,7.355794284325288E-05
2436159.5,1957-Nov-17,7.034203478731359E-01,-7.095019089561997E-01,-9.640302861512988E-03,5.674808571441746E-01,8.095079052017243E-01,8.302770620546809E-05
2436169.5,1957-Nov-27,8.250761333483420E-01,-5.887487335568485E-01,-1.187929063996848E-02,4.158466169758379E-01,8.947436465958077E-01,8.995361577398726E-05
2436179.5,1957-Dec-07,9.233619060183904E-01,-4.512773913175004E-01,-1.378189810489479E-02,2.514395667030129E-01,9.524853010793733E-01,9.410681803344600E-05
2436189.5,1957-Dec-17,9.965481767606926E-01,-3.015049112980161E-01,-1.530995440741699E-02,7.927431888502380E-02,9.808225886620211E-01,9.534504536401014E-05
2436199.5,1957-Dec-27,1.043671009578185E+00,-1.438188729851113E-01,-1.643766629534336E-02,-9.534359639439180E-02,9.787808642906787E-01,9.361884572054959E-05
2436209.5,1958-Jan-06,1.064441687352851E+00,1.752169553684489E-02,-1.715039725614085E-02,-2.670016165668880E-01,9.463676216475132E-01,8.898019211053210E-05
2436219.5,1958-Jan-16,1.059158864559792E+00,1.784524858548204E-01,-1.744340449240457E-02,-4.303719348783625E-01,8.845792001700457E-01,8.159481737928095E-05
2436229.5,1958-Jan-26,1.028629702138821E+00,3.351451410985118E-01,-1.732067049123039E-02,-5.804012356087536E-01,7.953664322396427E-01,7.173962875407529E-05
2436239.5,1958-Feb-05,9.741031394036380E-01,4.840312084788702E-01,-1.679388923605054E-02,-7.124884464317115E-01,6.815610415968626E-01,5.977363381436927E-05
2436249.5,1958-Feb-15,8.972161824457879E-01,6.218153161115314E-01,-1.588163362254122E-02,-8.226414504440281E-01,5.467671700602402E-01,4.608816439936632E-05
2436259.5,1958-Feb-25,7.999527399151892E-01,7.454829378945980E-01,-1.460871163908053E-02,-9.076054670493846E-01,3.952244832701968E-01,3.108869145049947E-05
