Name,H,a,e,i,Omega,peri,M,n,Epoch
(10247) Amphiaraos,11.28,5.2832185,0.0080826,4.18824,162.48245,322.98118,349.75016,0.08116265,2023.150684931507
(10664) Phemios,11.46,5.2004107,0.0318683,8.56896,240.12445,231.71191,349.89662,0.08310891,2023.150684931507
(10989) Dolios,11.35,5.1749864,0.0878425,10.57925,187.30665,207.30863,49.79614,0.08372213,2023.150684931507
(11089) 1994 CS8,10.81,5.1777729,0.0206467,6.93427,120.11349,16.61673,153.53653,0.08365455,2023.150684931507
(11251) Icarion,12.18,5.1709554,0.000602,4.20214,102.00746,101.08667,243.61486,0.08382005,2023.150684931507
(11252) Laertes,10.71,5.1400383,0.0313816,5.85729,78.31362,328.79231,28.09499,0.08457744,2023.150684931507
(11273) 1988 RN11,11.7,5.1887298,0.0940299,1.42027,171.65346,56.60818,58.96709,0.08338971,2023.150684931507
(11275) 1988 SL3,11.78,5.1952528,0.0914173,25.15683,122.58118,217.58791,341.30278,0.08323271,2023.150684931507
(11351) Leucus,10.9,5.3023293,0.0658959,11.54637,251.08669,160.95481,43.7835,0.08072425,2023.150684931507
(11395) Iphinous,9.93,5.2161465,0.0671274,24.12992,213.23113,119.81408,104.08027,0.08273312,2023.150684931507
(11396) 1998 XZ77,10.69,5.2165504,0.0647993,12.57765,195.65695,178.29966,65.11482,0.08272351,2023.150684931507
(11397) 1998 XX93,10.28,5.2655304,0.0634933,20.97707,261.22267,151.86688,53.87037,0.08157196,2023.150684931507
(11428) Alcinoos,11.22,5.3315717,0.0146199,17.30002,3.32307,59.83603,13.72577,0.08006103,2023.150684931507
(11429) Demodokus,10.55,5.2266546,0.0313828,17.108,6.2212,94.98602,315.56817,0.08248375,2023.150684931507
(11487) 1988 RG10,11.41,5.150466,0.0490604,3.52716,342.36817,6.69969,331.61286,0.08432072,2023.150684931507
(11488) 1988 RM11,11.57,5.1867135,0.0361734,3.35135,140.61998,231.4063,318.29943,0.08343835,2023.150684931507
(11509) Thersilochos,10.3,5.1738348,0.1439582,18.51273,214.70954,128.68876,333.22379,0.08375008,2023.150684931507
(11552) Boucolion,10.14,5.2792303,0.1543558,14.6752,138.36329,182.39904,7.05987,0.08125464,2023.150684931507
(11554) Asios,10.55,5.2840467,0.0650844,13.70171,128.07867,128.71588,66.93984,0.08114357,2023.150684931507
(11663) 1997 GO24,11.07,5.1331581,0.1281735,14.4742,226.02039,89.33159,358.52416,0.08474754,2023.150684931507
(11668) Balios,11.6,5.1524725,0.1429751,4.67841,19.91424,15.8683,34.28756,0.08427147,2023.150684931507
(11869) 1989 TS2,11.59,5.2313306,0.0432613,11.30965,149.67431,160.24953,353.89924,0.08237318,2023.150684931507
(11887) Echemmon,10.97,5.1793866,0.0929118,24.05125,242.65531,111.83556,322.4353,0.08361546,2023.150684931507
(12052) Aretaon,10.72,5.2234275,0.0689082,11.47467,219.78669,87.67571,343.65666,0.0825602,2023.150684931507
(12054) 1997 TT9,11.93,5.1591243,0.0655362,10.07902,44.52543,40.06291,15.98624,0.08410854,2023.150684931507
(12126) 1999 RM11,10.2,5.2136244,0.2091886,2.0457,351.00164,304.59668,8.0282,0.08279316,2023.150684931507
(12238) Actor,10.96,5.1755976,0.1250415,21.08623,227.56529,178.11716,35.79332,0.0837073,2023.150684931507
(12242) Koon,10.94,5.1085796,0.0688464,29.77437,222.63778,93.91454,11.45585,0.08535988,2023.150684931507
(12444) Prothoon,9.99,5.2362817,0.0720632,30.84159,213.23203,66.04515,27.1427,0.08225638,2023.150684931507
(12649) Ascanios,11.87,5.1585014,0.1493873,6.57264,337.60499,342.31609,4.43906,0.08412377,2023.150684931507
(12658) Peiraios,11.34,5.1791739,0.0587814,1.7765,111.88276,325.85668,26.48117,0.08362061,2023.150684931507
(12714) Alkimos,10.29,5.2420433,0.0373274,9.50422,298.91077,162.10818,347.62523,0.0821208,2023.150684931507
(12916) Eteoneus,11.49,5.1342982,0.0211611,26.44173,219.31928,220.29258,339.93463,0.08471932,2023.150684931507
(12917) 1998 TG16,11.52,5.1655879,0.0922852,11.86265,204.18682,230.73126,347.3926,0.08395072,2023.150684931507
(12921) 1998 WZ5,11.09,5.24039,0.0939559,12.80319,160.16697,274.22729,0.58098,0.08215966,2023.150684931507
(12929) Periboea,10.07,5.2469761,0.0410792,43.42614,200.2127,129.60422,2.44128,0.08200502,2023.150684931507
(12972) Eumaios,11.77,5.1458524,0.1523323,8.43953,40.49782,340.18508,60.47618,0.08443414,2023.150684931507
(12973) Melanthios,11.56,5.1188417,0.0586993,5.74557,358.13591,38.38941,39.66254,0.08510332,2023.150684931507
(12974) Halitherses,11.46,5.1865335,0.0524185,7.60555,15.15071,4.73143,61.38401,0.08344269,2023.150684931507
(13060) 1991 EJ,10.81,5.1483608,0.1237599,22.95288,280.438,97.73469,50.48415,0.08437244,2023.150684931507
(13062) Podarkes,11.26,5.1799969,0.0120093,8.2238,91.02426,289.375,89.37602,0.08360068,2023.150684931507
(13181) Peneleos,12.17,5.2172647,0.1373999,2.54448,10.91857,104.22092,325.61328,0.08270652,2023.150684931507
(13182) 1996 SO8,10.83,5.2139065,0.1133485,5.08391,302.91488,66.85742,57.61691,0.08278644,2023.150684931507
(13183) 1996 TW,10.83,5.224895,0.089952,17.94695,8.04173,315.87416,121.94337,0.08252542,2023.150684931507
(13184) Augeias,11.17,5.1808963,0.0488605,4.50825,227.44892,99.82374,128.47388,0.08357891,2023.150684931507
(13185) Agasthenes,12.14,5.1992621,0.0557755,9.10573,4.33448,53.76779,26.99641,0.08313646,2023.150684931507
(13229) Echion,11.85,5.2643433,0.0751559,3.83719,343.01601,165.99601,304.65032,0.08159955,2023.150684931507
(13230) 1997 VG1,11.44,5.0844008,0.0626506,4.32238,53.82905,37.28181,8.275,0.0859695,2023.150684931507
(13323) 1998 SQ,11.19,5.0762989,0.0912165,0.92096,182.5625,256.50898,348.57757,0.0861754,2023.150684931507
(13331) 1998 SU52,11.51,5.074713,0.1099404,2.29616,284.77978,149.76414,8.22436,0.0862158,2023.150684931507
(13353) 1998 TU12,11.56,5.1728222,0.1343661,15.43011,41.92541,75.49038,326.8491,0.08377467,2023.150684931507
(13362) 1998 UQ16,11.13,5.1776464,0.0283216,9.34247,57.89259,117.71971,254.07584,0.08365762,2023.150684931507
(13366) 1998 US24,11.37,5.220394,0.1053839,6.63744,96.26693,356.29811,341.29803,0.08263217,2023.150684931507
(13372) 1998 VU6,11.41,5.2426154,0.0485369,7.30204,96.69177,305.1561,40.99814,0.08210736,2023.150684931507
(13379) 1998 WX9,11.64,5.1610335,0.066319,4.91388,89.55999,336.84786,21.30862,0.08406187,2023.150684931507
(13383) 1998 XS31,11.42,5.1643851,0.0659486,6.39302,252.22072,161.44698,42.67727,0.08398005,2023.150684931507
(13385) 1998 XO79,10.98,5.2352679,0.0453106,13.96158,157.12667,168.29714,115.04718,0.08228027,2023.150684931507
(13387) Irus,12.22,5.2035142,0.0965946,7.24651,355.90644,21.12875,54.01924,0.08303457,2023.150684931507
(13402) 1999 RV165,11.7,5.2654519,0.1225436,7.53194,160.82894,127.75616,33.90939,0.08157378,2023.150684931507
(13463) Antiphos,11.36,5.1942356,0.0083978,10.52279,323.57365,90.49102,38.13459,0.08325716,2023.150684931507
(13475) Orestes,11.7,5.1773629,0.0750464,7.9414,353.4189,123.01567,321.9845,0.08366449,2023.150684931507
(13650) Perimedes,11.97,5.228973,0.0986906,10.70322,206.81127,243.93706,10.02059,0.0824289,2023.150684931507
(13694) 1997 WW7,11.04,5.2699652,0.0711121,5.63847,249.75985,164.73875,55.19934,0.08146901,2023.150684931507
(13780) 1998 UZ8,12.03,5.1481844,0.0967049,8.25838,25.07256,52.90055,346.41344,0.08437678,2023.150684931507
(13782) 1998 UM18,11.59,5.1876337,0.1346081,28.58983,150.14716,233.08833,61.09396,0.08341615,2023.150684931507
(13790) 1998 UF31,11.86,5.271297,0.1133018,7.96928,67.23555,55.16854,317.95492,0.08143814,2023.150684931507
(13862) Elais,11.74,5.2653094,0.0858132,8.40045,132.12686,280.0914,12.74639,0.08157709,2023.150684931507
(14235) 1999 XA187,11.46,5.1436267,0.0858839,8.667,41.38148,25.64636,31.4194,0.08448895,2023.150684931507
(14268) 2000 AK156,10.59,5.2072028,0.0911225,15.00151,284.42513,128.46033,6.09774,0.08294636,2023.150684931507
(14518) 1996 RZ30,12.18,5.2616226,0.1457036,6.48302,179.00819,254.64446,359.69964,0.08166285,2023.150684931507
(14690) 2000 AR25,10.66,5.2134252,0.0319458,4.44659,1.46994,8.14444,75.76176,0.08279791,2023.150684931507
(14707) 2000 CC20,11.42,5.2438833,0.042569,13.65397,156.05172,286.70669,26.90608,0.08207758,2023.150684931507
(14791) Atreus,11.94,5.1511564,0.1620816,2.93599,194.75571,186.2937,65.7265,0.08430376,2023.150684931507
(14792) Thyestes,12.25,5.1827846,0.0842389,11.36586,154.76902,245.67575,52.28507,0.08353324,2023.150684931507
(15033) 1998 VY29,10.74,5.1777835,0.2037124,12.02243,258.39293,165.22724,19.30669,0.0836543,2023.150684931507
(15094) Polymele,11.81,5.1803012,0.0967597,12.98132,50.31857,4.77157,44.31366,0.08359332,2023.150684931507
(15398) 1997 UZ23,10.95,5.1332536,0.026224,28.46113,189.59661,315.32496,297.78619,0.08474518,2023.150684931507
(15436) Dexius,9.14,5.2122793,0.0454573,16.26098,253.43014,179.75176,4.67283,0.08282521,2023.150684931507
(15440) Eioneus,9.63,5.2937484,0.0232807,28.75078,120.55416,285.57421,20.89669,0.08092061,2023.150684931507
(15442) 1998 WN11,12.03,5.1860779,0.1686911,4.51053,110.35655,320.6974,9.11963,0.08345368,2023.150684931507
(15502) 1999 NV27,10.14,5.1217039,0.014818,16.82717,308.72365,178.19272,182.99671,0.08503199,2023.150684931507
(15521) 1999 XH133,11.35,5.2456829,0.0698715,10.67741,10.40351,170.4177,265.29134,0.08203535,2023.150684931507
